[Name]
Export Surface 1

[Parameters]
Ncompt = 1
Nnodes = 9526
Rotation Axis From = 0.00000000 [m], 0.00000000 [m], 0.00000000 [m]
Rotation Axis To   = 0.00000000 [m], 0.00000000 [m], 1.00000000 [m]
Rotating Speed     = 1047.19755 [s^-1 rad]
Frequency          = 401.532061 [Hz]
Nodal Diameter     = 0

[Spatial Fields]
Initial X, Initial Y, Initial Z

[Data]
Initial X [ m ], Initial Y [ m ], Initial Z [ m ], Real Pressure [ kg m^-1 s^-2 ], Imaginary Pressure [ kg m^-1 s^-2 ]
-2.34966899E-002,  1.63318414E-001,  4.12905801E-005, -4.09738955E+002, -1.82865817E+002
-2.34978505E-002,  1.63328353E-001,  4.14003489E-005, -4.08516048E+002, -1.82425288E+002
-2.34993378E-002,  1.63341091E-001,  4.15415773E-005, -4.06677927E+002, -1.81706223E+002
-2.35012437E-002,  1.63357415E-001,  4.17236471E-005, -4.08635848E+002, -1.81850547E+002
-2.35036858E-002,  1.63378335E-001,  4.19587602E-005, -4.32127911E+002, -1.89631915E+002
-2.35068150E-002,  1.63405146E-001,  4.22630173E-005, -4.62490431E+002, -2.00453063E+002
-2.35108242E-002,  1.63439506E-001,  4.26578256E-005, -4.62446484E+002, -1.99770934E+002
-2.35159605E-002,  1.63483541E-001,  4.31719186E-005, -4.75232841E+002, -2.03936674E+002
-2.35225401E-002,  1.63539974E-001,  4.38443079E-005, -4.63768232E+002, -1.99557454E+002
-2.35309669E-002,  1.63612298E-001,  4.47287009E-005, -4.43827628E+002, -1.92775655E+002
-2.35417569E-002,  1.63704987E-001,  4.59002598E-005, -4.02019161E+002, -1.77987108E+002
-2.35555676E-002,  1.63823776E-001,  4.74661749E-005, -3.30771808E+002, -1.50743993E+002
-2.35732127E-002,  1.63976024E-001,  4.95821786E-005, -2.51670443E+002, -1.21924257E+002
-2.35956488E-002,  1.64171166E-001,  5.24698061E-005, -1.99264628E+002, -1.00254876E+002
-2.36240974E-002,  1.64421295E-001,  5.64376061E-005, -1.45572608E+002, -8.45383604E+001
-2.36600465E-002,  1.64741918E-001,  6.19055600E-005, -1.15966533E+002, -7.45985532E+001
-2.37052808E-002,  1.65152923E-001,  6.94048717E-005, -4.21251684E+001, -4.21774431E+001
-2.37619321E-002,  1.65679810E-001,  7.95140910E-005, -1.76354617E+001, -2.87946727E+001
-2.38326037E-002,  1.66355271E-001,  9.26964033E-005,  4.26422302E+001,  2.32981245E+000
-2.39206354E-002,  1.67221198E-001,  1.09097031E-004,  5.67743393E+001,  4.97664581E+000
-2.40304696E-002,  1.68331257E-001,  1.28472667E-004,  7.52739265E+001,  2.67162441E+001
-2.41678939E-002,  1.69754220E-001,  1.50276149E-004,  8.65009124E+001,  2.63552038E+001
-2.43397946E-002,  1.71578279E-001,  1.73564492E-004,  7.95539673E+001,  2.28622489E+001
-2.45518489E-002,  1.73916740E-001,  1.96850787E-004,  5.03785395E+001,  6.35969968E+000
-2.47987593E-002,  1.76920772E-001,  2.34181732E-004, -1.95931226E+001, -1.62729185E+001
-2.50788138E-002,  1.80770668E-001,  4.03340371E-004,  5.35793262E+001,  8.75165342E+000
-2.54008176E-002,  1.85708741E-001,  6.12372721E-004,  6.97485743E+001,  3.24500333E+001
-2.57716290E-002,  1.92065924E-001,  9.03731561E-004,  2.02360858E+001, -3.65450222E+000
-2.61007838E-002,  1.98423022E-001,  1.27537482E-003,  7.69647539E+001,  3.12671863E+001
-2.64256650E-002,  2.04782200E-001,  1.64866939E-003,  5.55867376E+001,  3.49683035E+001
-2.67635477E-002,  2.11137418E-001,  2.04021989E-003,  9.61763527E+001,  7.90429002E+001
-2.71364815E-002,  2.17489162E-001,  2.43547573E-003,  2.47067525E+002,  1.86753088E+002
-2.75747856E-002,  2.23830481E-001,  2.78138738E-003,  3.58047720E+002,  1.59953539E+002
-2.80506158E-002,  2.30166782E-001,  3.13702308E-003,  1.15393551E+003,  1.13376497E+003
-2.85726342E-002,  2.36498565E-001,  3.44709787E-003,  1.46409565E+003,  1.21160554E+003
-2.90290757E-002,  2.41939811E-001,  3.71289800E-003,  1.73686383E+003,  7.77733561E+002
-2.94201728E-002,  2.46583344E-001,  3.93266629E-003,  2.05441546E+003,  1.73686668E+003
-2.97512686E-002,  2.50533095E-001,  4.11219715E-003,  2.23661906E+003,  1.06171102E+003
-3.00286105E-002,  2.53882345E-001,  4.26086605E-003,  2.35287489E+003,  2.65856570E+003
-3.02606086E-002,  2.56714638E-001,  4.38331246E-003,  2.41253580E+003,  1.60026467E+003
-3.04436809E-002,  2.59104314E-001,  4.49257276E-003,  2.47662646E+003,  2.08113765E+003
-3.05907485E-002,  2.61116219E-001,  4.58609387E-003,  2.65349077E+003,  1.68325323E+003
-3.07129299E-002,  2.62806532E-001,  4.66295614E-003,  2.78795540E+003,  2.40370525E+003
-3.08145999E-002,  2.64223884E-001,  4.72619805E-003,  2.78069846E+003,  1.10765863E+003
-3.08992388E-002,  2.65410379E-001,  4.77829697E-003,  2.78940368E+003,  1.89556335E+003
-3.09696827E-002,  2.66402142E-001,  4.82126019E-003,  2.73994022E+003,  8.17025717E+002
-3.10282763E-002,  2.67229981E-001,  4.85671499E-003,  2.69272142E+003,  1.71695941E+003
-3.10769778E-002,  2.67920138E-001,  4.88598871E-003,  2.59359344E+003,  4.03531668E+002
