[Name]
mode1

[Parameters]
Frequency = 1152.13 [Hz]
Maximum Displacement = 0.00128982673254976 [m] 

[Spatial Fields]
Initial X, Initial Y, Initial Z

[Data]
Initial X [ m ], Initial Y [ m ], Initial Z [ m ], meshdisptot x [ m ], meshdisptot y [ m ], meshdisptot z [ m ]
0.192,0.0132,0.0384,2.42E-06,-6.32E-06,-3.82E-08
0.195,0.0137,0.038,4.45E-06,-8.49E-06,-9.50E-07
0.198,0.0142,0.0377,6.00E-06,-7.88E-06,-3.43E-06
0.201,0.0146,0.0373,6.88E-06,-4.05E-06,-7.99E-06
0.204,0.015,0.037,6.98E-06,3.32E-06,-1.50E-05
0.207,0.0154,0.0366,6.27E-06,1.43E-05,-2.48E-05
0.209,0.0157,0.0362,4.78E-06,2.86E-05,-3.73E-05
0.212,0.016,0.0358,2.54E-06,4.62E-05,-5.26E-05
0.215,0.0164,0.0355,-4.14E-07,6.69E-05,-7.08E-05
0.218,0.0167,0.0351,-4.09E-06,9.11E-05,-9.23E-05
0.221,0.0169,0.0346,-8.55E-06,0.000119,-0.000117
0.224,0.0172,0.0342,-1.40E-05,0.000149,-0.000145
0.227,0.0177,0.034,-2.05E-05,0.000181,-0.000174
0.23,0.0181,0.0337,-2.80E-05,0.000216,-0.000205
0.233,0.0185,0.0333,-3.60E-05,0.000253,-0.00024
0.235,0.0188,0.033,-4.38E-05,0.000292,-0.000278
0.238,0.019,0.0326,-5.19E-05,0.000333,-0.000318
0.241,0.0193,0.0321,-6.13E-05,0.000375,-0.000359
0.244,0.0195,0.0317,-7.20E-05,0.000418,-0.000399
0.187,0.013,0.0407,0,0,0
0.189,0.0136,0.0404,8.19E-07,-3.40E-06,2.14E-07
0.192,0.0142,0.04,3.22E-06,-8.74E-06,1.07E-06
0.195,0.0148,0.0396,5.59E-06,-1.25E-05,1.29E-06
0.198,0.0153,0.0392,7.33E-06,-1.33E-05,2.55E-08
0.201,0.0158,0.0388,8.26E-06,-1.07E-05,-3.27E-06
0.204,0.0162,0.0384,8.30E-06,-4.41E-06,-9.05E-06
0.206,0.0166,0.038,7.48E-06,5.60E-06,-1.76E-05
0.209,0.017,0.0376,5.84E-06,1.90E-05,-2.89E-05
0.212,0.0174,0.0372,3.42E-06,3.57E-05,-4.29E-05
0.215,0.0177,0.0368,2.37E-07,5.56E-05,-5.99E-05
0.218,0.0181,0.0364,-3.75E-06,7.91E-05,-8.02E-05
0.221,0.0183,0.0359,-8.61E-06,0.000106,-0.000104
0.224,0.0186,0.0355,-1.45E-05,0.000136,-0.00013
0.227,0.0191,0.0352,-2.15E-05,0.000167,-0.000158
0.229,0.0196,0.0349,-2.94E-05,0.000201,-0.000188
0.232,0.02,0.0345,-3.77E-05,0.000238,-0.000222
0.235,0.0203,0.0341,-4.58E-05,0.000277,-0.000259
0.238,0.0205,0.0337,-5.42E-05,0.000318,-0.000299
0.241,0.0208,0.0332,-6.43E-05,0.00036,-0.000339
0.244,0.0211,0.0327,-7.58E-05,0.000402,-0.000379
0.187,0.0135,0.0419,0,0,0
0.189,0.0142,0.0415,1.21E-06,-3.96E-06,3.05E-07
0.192,0.0149,0.0411,3.99E-06,-1.05E-05,1.83E-06
0.195,0.0155,0.0407,6.60E-06,-1.54E-05,2.88E-06
0.198,0.016,0.0402,8.47E-06,-1.72E-05,2.46E-06
0.201,0.0166,0.0398,9.43E-06,-1.54E-05,2.28E-08
0.204,0.017,0.0394,9.43E-06,-9.82E-06,-4.93E-06
0.206,0.0174,0.039,8.52E-06,-4.53E-07,-1.26E-05
0.209,0.0178,0.0385,6.78E-06,1.23E-05,-2.31E-05
0.212,0.0182,0.0381,4.22E-06,2.84E-05,-3.63E-05
0.215,0.0186,0.0377,8.39E-07,4.78E-05,-5.24E-05
0.218,0.019,0.0373,-3.39E-06,7.08E-05,-7.20E-05
0.221,0.0192,0.0368,-8.50E-06,9.76E-05,-9.51E-05
0.224,0.0196,0.0363,-1.46E-05,0.000127,-0.00012
0.226,0.02,0.036,-2.18E-05,0.000158,-0.000147
0.229,0.0205,0.0357,-3.00E-05,0.000191,-0.000177
0.232,0.0209,0.0353,-3.85E-05,0.000227,-0.00021
0.235,0.0212,0.0349,-4.69E-05,0.000266,-0.000246
0.238,0.0215,0.0345,-5.57E-05,0.000307,-0.000286
0.241,0.0218,0.034,-6.62E-05,0.000349,-0.000325
0.243,0.0221,0.0335,-7.81E-05,0.000392,-0.000365
0.187,0.0139,0.0427,0,0,0
0.19,0.0146,0.0422,1.57E-06,-4.31E-06,3.51E-07
0.192,0.0153,0.0418,4.61E-06,-1.17E-05,2.35E-06
0.195,0.0159,0.0414,7.39E-06,-1.74E-05,3.97E-06
0.198,0.0165,0.0409,9.35E-06,-1.99E-05,4.15E-06
0.201,0.0171,0.0405,1.03E-05,-1.87E-05,2.30E-06
0.204,0.0176,0.0401,1.03E-05,-1.36E-05,-2.10E-06
0.206,0.018,0.0396,9.32E-06,-4.60E-06,-9.26E-06
0.209,0.0184,0.0391,7.51E-06,7.78E-06,-1.91E-05
0.212,0.0188,0.0387,4.84E-06,2.35E-05,-3.17E-05
0.215,0.0192,0.0383,1.32E-06,4.25E-05,-4.73E-05
0.218,0.0196,0.0378,-3.08E-06,6.53E-05,-6.63E-05
0.221,0.0198,0.0373,-8.37E-06,9.17E-05,-8.89E-05
0.223,0.0202,0.0369,-1.46E-05,0.000121,-0.000114
0.226,0.0207,0.0365,-2.19E-05,0.000151,-0.00014
0.229,0.0212,0.0362,-3.02E-05,0.000184,-0.000169
