"Time","Torque_in","Clutch1_in","Clutch2_in","Clutch3_in"
1.042,9.685831611286,0.259183613210695,1,1
1.043,9.75916761938719,0.257969713543244,1,1
1.044,9.82287250728664,0.256755406506403,1,1
1.045,9.87688340595116,0.255540694017729,1,1
1.046,9.9211470131446,0.254325577995419,1,1
1.047,9.95561964603067,0.253110060358306,1,1
1.048,9.98026728428262,0.25189414302586,1,1
1.049,9.99506560365727,0.250677827918179,1,1
1.05,10,0.249461116955992,1,1
1.051,9.99506560365736,0.24824401206065,1,1
1.05199999999999,9.98026728428282,0.247026515154128,1,1
1.05299999999999,9.95561964603095,0.245808628159021,1,1
1.05399999999999,9.92114701314499,0.244590352998539,1,1
1.05499999999999,9.87688340595165,0.243371691596503,1,1
1.05599999999999,9.82287250728722,0.242152645877346,1,1
1.05699999999999,9.75916761938786,0.240933217766109,1,1
1.05799999999999,9.68583161128676,0.239713409188435,1,1
1.05899999999999,9.60293685676995,0.238493222070568,1,1
1.05999999999999,9.51056516295212,0.237272658339349,1,1
1.06099999999999,9.40880768954291,0.236051719922216,1,1
1.06199999999999,9.29776485888323,0.234830408747197,1,1
1.06299999999999,9.1775462568406,0.233608726742909,1,1
1.06399999999999,9.04827052466106,0.232386675838555,1,1
1.06499999999999,8.91006524188461,0.231164257963919,1,1
1.06599999999999,8.76306680043965,0.229941475049368,1,1
1.06699999999999,8.60742027004052,0.228718329025841,1,1
1.06799999999999,8.44327925502131,0.227494821824854,1,1
1.06899999999999,8.27080574274685,0.22627095537849,1,1
1.06999999999999,8.09016994375078,0.225046731619402,1,1
1.07099999999999,7.90155012375829,0.223822152480808,1,1
1.07199999999999,7.70513242775936,0.222597219896484,1,1
1.07299999999999,7.50111069630614,0.221371935800765,1,1
1.07399999999999,7.28968627421574,0.220146302128544,1,1
1.07499999999999,7.07106781186717,0.218920320815263,1,1
1.07599999999999,6.84547105928866,0.217693993796913,1,1
1.07699999999999,6.61311865323837,0.216467323010032,1,1
1.07799999999999,6.37423989748883,0.215240310391701,1,1
1.07899999999999,6.12907053653178,0.214012957879542,1,1
1.07999999999999,5.87785252292682,0.212785267411709,1,1
1.08099999999999,5.62083377852346,0.211557240926895,1,1
1.08199999999999,5.3582679497922,0.21032888036432,1,1
1.08299999999999,5.09041415750602,0.209100187663734,1,1
1.08399999999999,4.81753674101953,0.20787116476541,1,1
1.08499999999999,4.53990499739792,0.206641813610145,1,1
1.08599999999999,4.25779291565325,0.205412136139248,1,1
1.08699999999999,3.97147890635039,0.204182134294551,1,1
1.08799999999999,3.68124552684943,0.202951810018394,1,1
1.08899999999999,3.38737920245563,0.201721165253627,1,1
1.08999999999999,3.09016994375225,0.200490201943606,1,1
1.09099999999999,2.78991106039513,0.199258922032189,1,1
1.09199999999999,2.48689887165145,0.198027327463737,1,1
1.09299999999999,2.18143241396838,0.196795420183105,1,1
1.09399999999999,1.87381314586025,0.195563202135642,1,1
1.09499999999999,1.56434465040537,0.194330675267189,1,1
1.09599999999999,1.25333233564615,0.193097841524075,1,1
